,fichier,Journée,equipe_dom,equipe_ext,Min,Sec,score_dom,score_ext,Action,Action_equipe,Joueur,Temps,Full_Action,Score_action_equipe,Temps_dans_video,file,Temps_dans_video2,label,Cut_time_Start,Cut_time_End
7447,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,1,21,1,0,But7m,EPINAL U18M,MORANDanthony,1.35,But7m MORANDanthony temps=1min21sec,1.0,1.35,MOV001.MOD,01:21:00,But7m MORANDanthony temps=1min21sec  |  MOV001.MOD  |  01:21:00,00:00:00,00:00:00
7474,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,6,28,4,0,Tir,EPINAL U18M,MORANDanthony,6.466666666666667,Tir MORANDanthony temps=6min28sec,4.0,6.466666666666667,MOV001.MOD,06:28:00,Tir MORANDanthony temps=6min28sec  |  MOV001.MOD  |  06:28:00,00:00:00,00:00:00
7508,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,17,32,6,4,But,EPINAL U18M,MORANDanthony,17.533333333333335,But MORANDanthony temps=17min32sec,6.0,0.3833333333333364,MOV005.MOD,00:23:00,But MORANDanthony temps=17min32sec  |  MOV005.MOD  |  00:23:00,00:00:00,00:00:00
7510,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,18,14,7,4,But,EPINAL U18M,MORANDanthony,18.233333333333334,But MORANDanthony temps=18min14sec,7.0,1.0833333333333357,MOV005.MOD,01:05:00,But MORANDanthony temps=18min14sec  |  MOV005.MOD  |  01:05:00,00:00:00,00:00:00
7530,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,25,9,11,5,But,EPINAL U18M,MORANDanthony,25.15,But MORANDanthony temps=25min9sec,11.0,4.383333333333333,MOV007.MOD,04:23:00,But MORANDanthony temps=25min9sec  |  MOV007.MOD  |  04:23:00,00:00:00,00:00:00
7544,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,27,15,12,6,Tir,EPINAL U18M,MORANDanthony,27.25,Tir MORANDanthony temps=27min15sec,12.0,6.483333333333334,MOV007.MOD,06:29:00,Tir MORANDanthony temps=27min15sec  |  MOV007.MOD  |  06:29:00,00:00:00,00:00:00
7571,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,31,32,12,9,Tir,EPINAL U18M,MORANDanthony,31.533333333333335,Tir MORANDanthony temps=31min32sec,12.0,1.533333333333335,MOV00A.MOD,01:32:00,Tir MORANDanthony temps=31min32sec  |  MOV00A.MOD  |  01:32:00,00:00:00,00:00:00
7458,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,39,38,16,11,But,EPINAL U18M,MORANDanthony,39.63333333333333,But MORANDanthony temps=39min38sec,16.0,2.1000000000000014,MOV00B.MOD,02:06:00,But MORANDanthony temps=39min38sec  |  MOV00B.MOD  |  02:06:00,00:00:00,00:00:00
7527,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,51,52,23,18,But,EPINAL U18M,MORANDanthony,51.86666666666667,But MORANDanthony temps=51min52sec,23.0,3.9833333333333343,MOV00F.MOD,03:59:00,But MORANDanthony temps=51min52sec  |  MOV00F.MOD  |  03:59:00,00:00:00,00:00:00
7545,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,54,9,24,20,But,EPINAL U18M,MORANDanthony,54.15,But MORANDanthony temps=54min9sec,24.0,0.6999999999999957,MOV016.MOD,00:42:00,But MORANDanthony temps=54min9sec  |  MOV016.MOD  |  00:42:00,00:00:00,00:00:00
7567,10_EPINAL U18M-LINGOLSHEIM.pdf,10,EPINAL U18M,LINGOLSHEIM,59,19,28,25,But,EPINAL U18M,MORANDanthony,59.31666666666667,But MORANDanthony temps=59min19sec,28.0,0.10000000000000142,MOV01A.MOD,00:06:00,But MORANDanthony temps=59min19sec  |  MOV01A.MOD  |  00:06:00,00:00:00,00:00:00
